id	section	claim	class	source	enforced
76	6.2	E falls +0.1199 -> +0.0620 -> +0.0317	A	factorisation_check.py	yes
77	6.3	top decade E = +0.0317, n = 31,753,325	A	analyze.py	yes
78	6.3	delta_q / Z / f_q for 7 primes	A	analyze.py	partly
79	6.3	123 of 723 primes with |Z| >= 3, chance 2	A	analyze.py	yes
80	6.3	q=13 ranks 3rd of 723 by raw |f_q|	A	paper_figures.py	no
81	6.3	|f_q|*q^0.405 = 2.61 at q=13, median 1.22, max 5.32 at q=2971	A	paper_figures.py	no
82	6.3	q=13 at the 88th percentile	A	paper_figures.py	no
83	6.4	alpha 0.405, sigma 0.0438, SE 0.00125	A	fit_alpha.py	yes
84	6.4	68% [0.380, 0.430], 95% [0.355, 0.457]	A	fit_alpha.py	yes
85	6.4	six d(-2logL) values 45.88 8.52 0.02 11.64 69.97 109.37	A	fit_alpha.py	yes
86	6.4	2/5 is the only simple rational not rejected	A	corrected: 3/8 and 5/12 also consistent	no
87	6.4	Waldspurger heuristic gives lambda_q in [-2,2] and exponent 1/2	C	Waldspurger	no
88	6.4	earlier analysis of 60 primes gave alpha ~ 1/2 and Sato-Tate	A	mechanism_negatives.py (60-prime fit: alpha 0.495, 1/2 consistent)	no
89	7	Ono-Skinner Corollary 4	C	literature	no
90	7	Bruinier Theorem 1 hypotheses (l, Np(p-1)) = 1	C	literature	no
91	7	Bruinier-Ono / Choi Property A bounds	C	literature	no
92	7	Ahlgren-Boylan	C	literature	no
93	7	Bellaiche-Green-Soundararajan >> sqrt(X)/loglog X	C	literature	no
94	8	level 288 is untested	B	corrected: level 288 now searched	no
95	9	distinguishing E(t) -> 0 from a limit near 0.01	B	hypothetical, not a measurement	no
96	9	controls reach 3*10^7 in n vs 10^9 in m	A	pgen.c / eta11.c	no
97	data	41,666,667 bytes for a13.bin	A	eta11.c	yes
98	data	p(n) mod l for n <= 3e7, ten primes	A	pgen.c	no
99	data	delta_q and Z for 723 primes, m >= 10^8, E = +0.0317	A	analyze.py	yes
100	refs	eleven bibliographic entries with volume/year/pages	C	literature	no
101	refs	OEIS A000041, A010819, A071750, A399067	C	OEIS	no
